place,category,prcof,HHTYP,amount,Flag and Footnotes
Denmark,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Denmark,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Denmark,Device for internet access: handheld computer,Percentage of households,Total,0,
Denmark,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Denmark,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Denmark,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Germany (until 1990 former territory of the FRG),Device for internet access: desktop or portable computer,Percentage of households,Total,87,
Germany (until 1990 former territory of the FRG),Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,97,
Germany (until 1990 former territory of the FRG),Device for internet access: TV set with internet device,Percentage of households,Total,0,
Germany (until 1990 former territory of the FRG),Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Germany (until 1990 former territory of the FRG),Device for internet access: handheld computer,Percentage of households,Total,0,
Germany (until 1990 former territory of the FRG),Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Germany (until 1990 former territory of the FRG),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Germany (until 1990 former territory of the FRG),"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Estonia,Device for internet access: desktop or portable computer,Percentage of households,Total,81,b
Estonia,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,b
Estonia,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Estonia,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Estonia,Device for internet access: handheld computer,Percentage of households,Total,0,
Estonia,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Estonia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Estonia,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Ireland,Device for internet access: desktop or portable computer,Percentage of households,Total,78,
Ireland,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,94,
Ireland,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Ireland,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Ireland,Device for internet access: handheld computer,Percentage of households,Total,0,
Ireland,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Ireland,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Ireland,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Greece,Device for internet access: desktop or portable computer,Percentage of households,Total,64,
Greece,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,98,
Greece,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Greece,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
Greece,Device for internet access: handheld computer,Percentage of households,Total,0,
Greece,Device for internet access: handheld computer,Percentage of households with internet access at home,Total,0,
Greece,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households,Total,0,
Greece,"Device for internet access: mobile phone (GPRS, UMTS)",Percentage of households with internet access at home,Total,0,
Spain,Device for internet access: desktop or portable computer,Percentage of households,Total,67,
Spain,Device for internet access: desktop or portable computer,Percentage of households with internet access at home,Total,91,
Spain,Device for internet access: TV set with internet device,Percentage of households,Total,0,
Spain,Device for internet access: TV set with internet device,Percentage of households with internet access at home,Total,0,
